CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"16,153","2,864","2,18,674",18.34,8.50,-5.20,65,8.30,8.45,"2,470","24,950.00",65,871.90,883.65,130,114.30,876.80,-,104,-19,57,
,"1,49,546","45,780","9,56,949",18.54,7.15,-4.35,"1,495",7.15,7.25,910,"25,000.00",65,925.40,929.20,65,108.30,926.90,-,"7,820","-1,863","6,951",
,"23,685","9,565","2,46,829",18.78,6.10,-3.60,520,6.00,6.10,"1,105","25,050.00",65,968.80,984.15,65,116.10,974.40,-,22,-6,31,
,"45,966","3,716","5,47,389",18.92,5.05,-3.00,"1,430",5.05,5.25,"2,730","25,100.00",65,"1,017.45","1,033.00",65,104.75,"1,022.80",-,53,-5,171,
,"12,800",-973,"2,04,028",19.33,4.55,-2.40,520,4.40,4.50,"2,925","25,150.00",65,"1,066.75","1,118.05",390,86.20,"1,030.10",-,1,-1,6,
,"47,852","3,002","7,78,411",19.45,3.75,-2.00,780,3.75,3.80,"3,640","25,200.00",130,"1,106.85","1,132.55",65,114.50,"1,131.85",-,80,-4,"1,115",
,"12,381",195,"1,27,259",19.68,3.20,-1.65,"2,210",3.15,3.20,"14,950","25,250.00",390,"1,120.20","1,278.95","1,690",-,"1,024.20",-,-,-,41,
,"73,688","22,604","5,47,594",19.88,2.70,-1.45,"3,315",2.60,2.70,780,"25,300.00",65,"1,211.25","1,275.60",390,93.85,"1,200.00",-,8,-2,76,
,"14,860","4,190","1,01,431",20.27,2.45,-1.15,650,2.20,2.40,"1,560","25,350.00","1,690","1,136.70","1,428.40","1,690",27.35,"1,183.70",31.43,-,-,16,
,"37,626","4,479","2,50,350",20.30,1.95,-1.10,"1,040",1.95,2.05,325,"25,400.00",390,"1,268.50","1,484.00",65,120.10,"1,315.00",-,10,-1,50,
,"14,158","2,318","85,770",20.65,1.75,-0.90,65,1.75,1.90,"1,755","25,450.00",390,"1,329.40","1,424.80",390,289.05,"1,522.80",47.16,4,-1,14,
,"1,13,202","37,556","5,48,953",21.11,1.65,-0.55,"1,950",1.60,1.65,"1,690","25,500.00",195,"1,411.80","1,423.45",65,125.75,"1,424.70",-,"1,232",-824,"4,047",
,"9,941","-3,204","50,785",21.02,1.25,-0.55,65,1.30,1.35,"2,730","25,550.00",390,"1,424.45","1,522.65",390,-,"1,181.75",-,-,-,11,
,"30,230","-7,746","1,52,549",21.71,1.30,-0.20,130,1.25,1.30,"4,615","25,600.00",65,"1,469.80","1,622.35","1,690",114.30,"1,519.15",-,27,-26,47,
,"6,868",-14,"26,953",21.88,1.10,-0.25,"3,120",1.05,1.10,"2,600","25,650.00",390,"1,528.75","1,624.25",390,16.30,"1,449.60",27.82,-,-,25,
,"26,534","2,199","1,09,739",22.23,1.00,-0.25,"11,050",1.00,1.05,195,"25,700.00","1,690","1,486.80","1,831.65","1,690",321.20,"1,850.00",63.35,1,-,27,
,"7,335",587,"25,205",22.40,0.85,-0.20,"22,230",0.80,0.95,"5,005","25,750.00","1,690","1,507.35","1,825.70","1,690",-,-,-,-,-,-,
,"53,317","5,698","1,84,098",22.82,0.80,-0.10,"1,755",0.80,0.90,"2,015","25,800.00",390,"1,668.90","2,028.85",65,11.20,"1,762.00",-,2,-2,17,
,"5,225",285,"16,462",23.37,0.80,-0.05,"1,755",0.75,0.80,"1,430","25,850.00","1,690","1,587.70","1,926.10","1,690",8.60,"1,690.00",-,-,-,3,
,"15,178","-5,265","51,753",23.60,0.70,-0.15,"1,625",0.70,0.75,"7,150","25,900.00","1,690","1,674.60","2,075.20","3,380",-,"1,730.00",-,-,-,7,
,"3,004","-1,558","11,940",23.96,0.65,-0.10,"51,610",0.65,0.70,"14,690","25,950.00","1,690","1,687.15","2,033.20","1,690",-,-,-,-,-,-,
